Id,MedSalario,IdadeCasa,Quartos,Camas,Vizinhança,Ocupação,Bloco_id,Preço
11989,1.975,52.0,2.8,0.7,193.0,4.825,1177,47500.0
10256,2.2604,43.0,3.671480144404332,1.1841155234657041,836.0,3.0180505415162453,74,100000.0
17887,6.2989999999999995,17.0,6.478021978021977,1.0879120879120878,1387.0,3.81043956043956,4211,285800.0
14581,1.7199,17.0,2.5180000000000002,1.196,3051.0,3.051,2862,175000.0
11993,2.2206,50.0,4.622754491017964,1.1616766467065869,606.0,3.62874251497006,1175,59200.0
20326,6.67,11.0,6.495067817509248,0.9987669543773121,4409.0,2.718249075215783,5704,283200.0
20339,8.847000000000001,14.0,8.093959731543624,0.953020134228188,572.0,3.8389261744966436,5717,388700.0
22992,5.2586,17.0,6.945035460992908,1.1312056737588652,1809.0,3.2074468085106385,7484,137000.0
20458,13.0502,6.0,9.413793103448276,1.0804597701149423,572.0,3.2873563218390807,5808,500001.0
11700,6.0666,10.0,6.526518391787852,0.9730538922155688,7266.0,3.1077844311377247,985,272400.0
27617,3.6294,18.0,3.498795180722892,1.0714859437751003,1968.0,1.580722891566265,10307,240000.0
27838,5.0821,4.0,4.0146341463414625,0.9951219512195122,853.0,2.0804878048780493,10442,265500.0
16859,3.5089,31.0,4.458885941644564,1.059681697612732,1939.0,2.5716180371352784,3826,305800.0
22022,4.2985,12.0,5.7205776173285185,1.0613718411552346,4861.0,3.5097472924187727,6733,139200.0
22897,2.4342,27.0,4.477642276422763,1.0020325203252032,1158.0,2.3536585365853657,7413,119500.0
12767,2.0109,15.0,7.124542124542124,1.9633699633699635,515.0,1.8864468864468864,1787,54300.00000000001
24849,2.0114,20.0,3.6439716312056736,1.045390070921986,2341.0,3.3205673758865246,8674,104900.0
19073,1.2532,12.0,3.456445993031359,1.069686411149826,1071.0,1.8658536585365852,4675,102100.0
11217,2.0472,16.0,5.931558935361218,1.2186311787072244,1319.0,2.5076045627376424,613,93200.0
22615,5.0371,25.0,6.385656292286874,1.0081190798376185,1857.0,2.512855209742896,7217,180200.0
23498,1.8438,32.0,5.1398176291793325,1.0729483282674772,1457.0,4.428571428571429,7874,66600.0
23510,0.7069,29.0,3.093457943925233,0.794392523364486,341.0,3.1869158878504678,7883,70300.0
22812,3.6788,5.0,5.04269801980198,1.1837871287128714,2933.0,1.8149752475247525,7350,178800.0
14392,2.5521,38.0,2.859848484848485,1.0113636363636365,2899.0,3.660353535353536,2800,157500.0
11948,4.825,11.0,6.411392405063292,1.1898734177215189,410.0,2.59493670886076,1139,184600.0
12502,1.4038,12.0,3.8353909465020575,1.0041152263374489,1043.0,4.292181069958849,1569,54300.00000000001
17475,2.6339,41.0,3.7753303964757703,0.8854625550660793,934.0,4.11453744493392,4056,145700.0
30516,2.89,43.0,5.221238938053096,1.0420353982300885,1041.0,2.3030973451327434,12481,86200.0
11927,4.7083,15.0,7.918057663125948,1.078907435508346,1949.0,2.957511380880121,1118,213300.0
22068,4.125,6.0,7.2142857142857135,1.0357142857142858,75.0,2.6785714285714284,6767,216700.0
26324,5.143,9.0,6.139896373056994,1.0984455958549222,1129.0,2.924870466321244,9399,176500.0
